Left,ShoulderPos:(0.09, 0.20, -0.34),Plane:XZ,Radius:0.25
2.14380,3,normal,-0.00143,0.01005,0.01317,
2.15356,3,normal,-0.00120,0.01010,0.01324,
2.16278,3,normal,-0.00119,0.01010,0.01324,
2.17191,3,normal,-0.00119,0.01010,0.01324,
2.18149,3,normal,-0.00085,0.01017,0.01337,
2.19116,3,normal,-0.00062,0.01021,0.01347,
2.20487,3,normal,-0.00062,0.01021,0.01348,
2.21320,3,normal,-0.00062,0.01021,0.01348,
2.22104,3,normal,-0.00036,0.01023,0.01359,
2.23026,3,normal,-0.00035,0.01022,0.01360,
2.24060,3,normal,0.00005,0.01020,0.01370,
2.26483,3,normal,0.00007,0.01020,0.01371,
2.27481,3,normal,0.00020,0.01018,0.01374,
2.28485,3,normal,0.00021,0.01018,0.01374,
2.29269,3,normal,0.00021,0.01018,0.01374,
2.30060,3,normal,0.00018,0.01014,0.01378,
2.31116,3,normal,0.00017,0.01013,0.01379,
2.32108,3,normal,0.00012,0.01021,0.01379,
2.33209,3,normal,0.00005,0.01026,0.01381,
2.34283,3,normal,0.00004,0.01026,0.01382,
2.35211,3,normal,0.00004,0.01026,0.01382,
2.36142,3,normal,-0.00029,0.01035,0.01392,
2.36932,3,normal,-0.00031,0.01034,0.01393,
2.37988,3,normal,-0.00047,0.01035,0.01405,
2.38776,3,normal,-0.00047,0.01034,0.01407,
2.39670,3,normal,-0.00063,0.01053,0.01406,
2.42288,3,normal,-0.00061,0.01054,0.01407,
2.43262,3,normal,-0.00081,0.01100,0.01398,
2.44327,3,normal,-0.00081,0.01103,0.01397,
2.45313,3,normal,-0.00085,0.01115,0.01403,
2.46347,3,normal,-0.00085,0.01115,0.01403,
2.47382,3,normal,-0.00100,0.01121,0.01408,
2.48248,3,normal,-0.00100,0.01120,0.01409,
2.49210,3,normal,-0.00100,0.01120,0.01409,
2.50168,3,normal,-0.00118,0.01111,0.01411,
2.51123,3,normal,-0.00118,0.01110,0.01411,
2.52048,3,normal,-0.00136,0.01107,0.01410,
2.52878,3,normal,-0.00135,0.01107,0.01411,
2.53864,3,normal,-0.00152,0.01099,0.01410,
2.54758,3,normal,-0.00173,0.01098,0.01400,
2.57208,3,normal,-0.00172,0.01098,0.01400,
2.58011,3,normal,-0.00177,0.01098,0.01399,
2.58804,3,normal,-0.00177,0.01098,0.01399,
2.59631,3,normal,-0.00180,0.01099,0.01399,
2.60465,3,normal,-0.00179,0.01099,0.01399,
2.61359,3,normal,-0.00178,0.01098,0.01398,
2.62225,3,normal,-0.00177,0.01098,0.01398,
2.63019,3,normal,-0.00177,0.01098,0.01398,
2.63785,3,normal,-0.00177,0.01099,0.01398,
2.64578,3,normal,-0.00177,0.01100,0.01398,
2.65442,3,normal,-0.00177,0.01101,0.01398,
2.66318,3,normal,-0.00177,0.01101,0.01398,
2.67184,3,normal,-0.00177,0.01101,0.01398,
2.67993,3,normal,-0.00161,0.01107,0.01398,
2.68796,3,normal,-0.00161,0.01108,0.01398,
2.69577,3,normal,-0.00143,0.01113,0.01402,
2.70358,3,normal,-0.00123,0.01119,0.01407,
2.72577,3,normal,-0.00123,0.01119,0.01407,
2.73447,3,normal,-0.00094,0.01125,0.01419,
2.74255,3,normal,-0.00094,0.01125,0.01420,
2.75119,3,normal,-0.00074,0.01128,0.01426,
2.76468,3,normal,-0.00074,0.01128,0.01426,
2.77313,3,normal,-0.00074,0.01128,0.01426,
2.78043,3,normal,-0.00047,0.01134,0.01438,
2.78894,3,normal,-0.00045,0.01134,0.01440,
2.79709,3,normal,-0.00032,0.01134,0.01442,
2.80536,3,normal,-0.00031,0.01134,0.01442,
2.81372,3,normal,-0.00031,0.01134,0.01442,
2.82138,3,normal,-0.00026,0.01134,0.01447,
2.82861,3,normal,-0.00026,0.01134,0.01447,
2.83655,3,normal,-0.00027,0.01127,0.01448,
2.84418,3,normal,-0.00027,0.01127,0.01449,
2.85446,1,normal,-0.00371,0.01057,0.01433,
2.86258,1,normal,-0.00372,0.01057,0.01433,
2.87128,1,normal,-0.00378,0.01044,0.01438,
2.89557,1,normal,-0.00378,0.01042,0.01439,
2.90469,1,normal,-0.00378,0.01042,0.01439,
2.91281,1,normal,-0.00377,0.01023,0.01443,
2.92075,1,normal,-0.00376,0.01022,0.01444,
2.92880,1,normal,-0.00377,0.01017,0.01447,
2.93658,1,normal,-0.00377,0.01016,0.01447,
2.94492,1,normal,-0.00377,0.01016,0.01447,
2.95255,1,normal,-0.00361,0.01018,0.01446,
2.96091,1,normal,-0.00359,0.01019,0.01447,
2.96951,1,normal,-0.00353,0.01022,0.01447,
2.97702,1,normal,-0.00353,0.01022,0.01447,
2.98496,1,normal,-0.00353,0.01022,0.01447,
2.99240,1,normal,-0.00348,0.01033,0.01446,
3.00009,1,normal,-0.00346,0.01038,0.01448,
3.01425,1,normal,-0.00345,0.01038,0.01448,
3.02322,1,normal,-0.00340,0.01039,0.01456,
3.04590,1,normal,-0.00336,0.01038,0.01462,
3.05444,1,normal,-0.00336,0.01037,0.01463,
3.06195,1,normal,-0.00336,0.01037,0.01463,
3.07007,1,normal,-0.00313,0.01043,0.01471,
3.07745,1,normal,-0.00313,0.01043,0.01471,
3.08633,1,normal,-0.00298,0.01048,0.01472,
3.09457,1,normal,-0.00297,0.01049,0.01472,
3.10263,1,normal,-0.00297,0.01049,0.01472,
3.11130,1,normal,-0.00261,0.01061,0.01473,
3.11914,1,normal,-0.00260,0.01062,0.01473,
3.12708,1,normal,-0.00245,0.01064,0.01474,
3.13513,1,normal,-0.00244,0.01064,0.01474,
3.14420,1,normal,-0.00223,0.01067,0.01480,
3.15436,1,normal,-0.00223,0.01067,0.01480,
3.16434,1,normal,-0.00223,0.01067,0.01480,
3.17337,1,normal,-0.00197,0.01063,0.01484,
3.19638,1,normal,-0.00195,0.01063,0.01485,
3.20593,1,normal,-0.00182,0.01057,0.01487,
3.21509,1,normal,-0.00181,0.01057,0.01487,
3.22354,1,normal,-0.00175,0.01056,0.01488,
3.23465,1,normal,-0.00175,0.01056,0.01488,
3.24274,1,normal,-0.00175,0.01056,0.01488,
3.25183,1,normal,-0.00181,0.01058,0.01495,
3.25989,1,normal,-0.00182,0.01057,0.01496,
3.26944,1,normal,-0.00187,0.01062,0.01499,
3.27808,1,normal,-0.00187,0.01062,0.01499,
3.28836,1,normal,-0.00185,0.01074,0.01509,
3.29761,1,normal,-0.00185,0.01074,0.01511,
3.30716,1,normal,-0.00190,0.01092,0.01511,
3.31674,1,normal,-0.00190,0.01093,0.01511,
3.32788,1,normal,-0.00196,0.01129,0.01519,
3.35684,1,normal,-0.00195,0.01130,0.01520,
3.36829,1,normal,-0.00200,0.01140,0.01517,
3.37958,1,normal,-0.00201,0.01142,0.01521,
3.39511,1,normal,-0.00200,0.01141,0.01521,
3.40408,1,normal,-0.00208,0.01141,0.01525,
3.41592,1,normal,-0.00208,0.01141,0.01525,
3.42596,1,normal,-0.00215,0.01134,0.01529,
3.43475,1,normal,-0.00216,0.01133,0.01529,
3.44305,1,normal,-0.00216,0.01133,0.01529,
3.45071,1,normal,-0.00233,0.01127,0.01538,
3.45883,1,normal,-0.00234,0.01125,0.01539,
3.46771,1,normal,-0.00243,0.01129,0.01537,
3.47632,1,normal,-0.00243,0.01129,0.01538,
3.48883,1,normal,-0.00265,0.01167,0.01544,
0.00000,1,normal,0.00130,0.00096,0.00230,
0.00824,1,normal,0.00129,0.00095,0.00230,
0.01691,1,normal,0.00097,0.00090,0.00216,
0.02686,1,normal,0.00096,0.00090,0.00215,
0.03522,1,normal,0.00051,0.00079,0.00192,
0.06036,1,normal,0.00035,0.00074,0.00177,
0.08316,1,normal,0.00020,0.00070,0.00172,
0.10526,1,normal,0.00016,0.00069,0.00163,
0.12762,1,normal,0.00016,0.00070,0.00162,
