Right,ShoulderPos:(-0.01, 0.63, 0.02),Plane:XZ,Radius:0.35
1.17901,1,normal,0.00000,0.00000,-0.12744,
1.18223,1,normal,0.00000,0.00000,-0.12744,
1.18563,1,normal,0.00000,0.00000,-0.12744,
1.18974,1,normal,0.00000,0.00000,-0.12744,
1.19313,1,normal,0.00000,0.00000,-0.12744,
1.19645,1,normal,0.00000,0.00000,-0.12744,
1.19972,1,normal,0.00000,0.00000,-0.12744,
1.20295,1,normal,0.00000,0.00000,-0.12744,
1.20636,1,normal,0.00000,0.00000,-0.12744,
1.21002,1,normal,0.00000,0.00000,-0.12744,
1.21328,1,normal,0.00000,0.00000,-0.12744,
1.21662,1,normal,0.00000,0.00000,-0.12744,
1.21983,1,normal,0.00000,0.00000,-0.12744,
1.22310,1,normal,0.00000,0.00000,-0.12744,
1.22621,1,normal,0.00000,0.00000,-0.12744,
1.23003,1,normal,0.00000,0.00000,-0.12744,
1.23341,1,normal,0.00000,0.00000,-0.12744,
1.23666,1,normal,0.00000,0.00000,-0.12744,
1.23979,1,normal,0.00000,0.00000,-0.12744,
1.24303,1,normal,0.00000,0.00000,-0.12744,
1.24631,1,normal,0.00000,0.00000,-0.12744,
1.25043,1,normal,0.00000,0.00000,-0.12744,
1.25386,1,normal,0.00000,0.00000,-0.12744,
1.25732,1,normal,0.00000,0.00000,-0.12744,
1.26711,1,normal,0.00000,0.00000,-0.12744,
1.27533,1,normal,0.00000,0.00000,-0.12744,
1.28375,1,normal,0.00000,0.00000,-0.12744,
1.28800,1,normal,0.00000,0.00000,-0.12744,
1.29144,1,normal,0.00000,0.00000,-0.12744,
1.29481,1,normal,0.00000,0.00000,-0.12744,
1.29813,1,normal,0.00000,0.00000,-0.12744,
1.30154,1,normal,0.00000,0.00000,-0.12744,
1.30496,1,normal,0.00000,0.00000,-0.12744,
1.30860,1,normal,0.00000,0.00000,-0.12744,
1.31183,1,normal,0.00000,0.00000,-0.12744,
1.31521,1,normal,0.00000,0.00000,-0.12744,
1.31841,1,normal,0.00000,0.00000,-0.12744,
1.32172,1,normal,0.00000,0.00000,-0.12744,
1.32503,1,normal,0.00000,0.00000,-0.12744,
1.32882,1,normal,0.00000,0.00000,-0.12744,
1.33222,1,normal,0.00000,0.00000,-0.12744,
1.33555,1,normal,0.00000,0.00000,-0.12744,
1.33880,1,normal,0.00000,0.00000,-0.12744,
1.34212,1,normal,0.00000,0.00000,-0.12744,
1.34545,1,normal,0.00000,0.00000,-0.12744,
1.34953,1,normal,0.00000,0.00000,-0.12744,
1.35283,1,normal,0.00000,0.00000,-0.12744,
1.35600,1,normal,0.00000,0.00000,-0.12744,
1.35910,1,normal,0.00000,0.00000,-0.12744,
1.36225,1,normal,0.00000,0.00000,-0.12744,
1.36531,1,normal,0.00000,0.00000,-0.12744,
1.36902,1,normal,0.00000,0.00000,-0.12744,
1.37227,1,normal,0.00000,0.00000,-0.12744,
1.37550,1,normal,0.00000,0.00000,-0.12744,
1.37868,1,normal,0.00000,0.00000,-0.12744,
