Left,ShoulderPos:(0.01, 0.63, 0.02),Plane:XZ,Radius:0.35
0.44437,1,normal,0.00000,0.00000,0.00000,
0.44626,1,normal,0.00000,0.00000,0.00000,
0.44808,1,normal,0.00000,0.00000,0.00000,
0.45025,1,normal,0.00000,0.00000,0.00000,
0.45205,1,normal,0.00000,0.00000,0.00000,
0.45374,1,normal,0.00000,0.00000,0.00000,
0.45560,1,normal,0.00000,0.00000,0.00000,
0.45734,1,normal,0.00000,0.00000,0.00000,
0.45926,1,normal,0.00000,0.00000,0.00000,
0.46115,1,normal,0.00000,0.00000,0.00000,
0.46294,1,normal,0.00000,0.00000,0.00000,
0.46475,1,normal,0.00000,0.00000,0.00000,
0.46707,1,normal,0.00000,0.00000,0.00000,
0.46905,1,normal,0.00000,0.00000,0.00000,
0.47126,1,normal,0.00000,0.00000,0.00000,
0.47325,1,normal,0.00000,0.00000,0.00000,
0.47516,1,normal,0.00000,0.00000,0.00000,
0.47704,1,normal,0.00000,0.00000,0.00000,
0.47888,1,normal,0.00000,0.00000,0.00000,
0.48090,1,normal,0.00000,0.00000,0.00000,
0.48265,1,normal,0.00000,0.00000,0.00000,
0.48446,1,normal,0.00000,0.00000,0.00000,
0.48625,1,normal,0.00000,0.00000,0.00000,
0.48805,1,normal,0.00000,0.00000,0.00000,
0.49084,1,normal,0.00000,0.00000,0.00000,
0.49275,1,normal,0.00000,0.00000,0.00000,
0.49465,1,normal,0.00000,0.00000,0.00000,
0.49644,1,normal,0.00000,0.00000,0.00000,
0.49839,1,normal,0.00000,0.00000,0.00000,
0.50037,1,normal,0.00000,0.00000,0.00000,
0.50246,1,normal,0.00000,0.00000,0.00000,
0.50435,1,normal,0.00000,0.00000,0.00000,
0.50627,1,normal,0.00000,0.00000,0.00000,
0.50835,1,normal,0.00000,0.00000,0.00000,
0.51368,1,normal,0.00000,0.00000,0.00000,
0.51580,1,normal,0.00000,0.00000,0.00000,
0.51765,1,normal,0.00000,0.00000,0.00000,
0.51966,1,normal,0.00000,0.00000,0.00000,
0.52155,1,normal,0.00000,0.00000,0.00000,
0.52336,1,normal,0.00000,0.00000,0.00000,
0.52516,1,normal,0.00000,0.00000,0.00000,
0.52695,1,normal,0.00000,0.00000,0.00000,
0.52886,1,normal,0.00000,0.00000,0.00000,
0.53091,1,normal,0.00000,0.00000,0.00000,
0.53275,1,normal,0.00000,0.00000,0.00000,
0.53446,1,normal,0.00000,0.00000,0.00000,
0.53618,1,normal,0.00000,0.00000,0.00000,
0.53795,1,normal,0.00000,0.00000,0.00000,
0.53986,1,normal,0.00000,0.00000,0.00000,
0.54187,1,normal,0.00000,0.00000,0.00000,
0.54375,1,normal,0.00000,0.00000,0.00000,
0.54556,1,normal,0.00000,0.00000,0.00000,
0.54740,1,normal,0.00000,0.00000,0.00000,
0.54924,1,normal,0.00000,0.00000,0.00000,
0.55136,1,normal,0.00000,0.00000,0.00000,
0.55316,1,normal,0.00000,0.00000,0.00000,
0.55495,1,normal,0.00000,0.00000,0.00000,
0.55675,1,normal,0.00000,0.00000,0.00000,
0.55857,1,normal,0.00000,0.00000,0.00000,
0.56024,1,normal,0.00000,0.00000,0.00000,
0.56196,1,normal,0.00000,0.00000,0.00000,
0.56391,1,normal,0.00000,0.00000,0.00000,
0.56576,1,normal,0.00000,0.00000,0.00000,
0.56744,1,normal,0.00000,0.00000,0.00000,
0.56937,1,normal,0.00000,0.00000,0.00000,
0.57144,1,normal,0.00000,0.00000,0.00000,
0.57329,1,normal,0.00000,0.00000,0.00000,
0.57516,1,normal,0.00000,0.00000,0.00000,
0.57706,1,normal,0.00000,0.00000,0.00000,
0.57886,1,normal,0.00000,0.00000,0.00000,
0.58078,1,normal,0.00000,0.00000,0.00000,
0.58256,1,normal,0.00000,0.00000,0.00000,
0.58434,1,normal,0.00000,0.00000,0.00000,
0.58616,1,normal,0.00000,0.00000,0.00000,
0.58796,1,normal,0.00000,0.00000,0.00000,
0.58975,1,normal,0.00000,0.00000,0.00000,
0.59177,1,normal,0.00000,0.00000,0.00000,
0.59345,1,normal,0.00000,0.00000,0.00000,
0.59525,1,normal,0.00000,0.00000,0.00000,
0.59730,1,normal,0.00000,0.00000,0.00000,
0.59924,1,normal,0.00000,0.00000,0.00000,
0.60116,1,normal,0.00000,0.00000,0.00000,
0.60308,1,normal,0.00000,0.00000,0.00000,
0.60485,1,normal,0.00000,0.00000,0.00000,
