Right,ShoulderPos:(-0.01, 0.63, 0.02),Plane:YZ,Radius:0.35
11.34039,1,normal,0.00000,0.00000,0.00000,
11.34199,1,normal,0.00000,0.00000,0.00000,
11.34371,1,normal,0.00000,0.00000,0.00000,
11.34539,1,normal,0.00000,0.00000,0.00000,
11.34719,1,normal,0.00000,0.00000,0.00000,
11.34889,1,normal,0.00000,0.00000,0.00000,
11.35060,1,normal,0.00000,0.00000,0.00000,
11.35240,1,normal,0.00000,0.00000,0.00000,
11.35461,1,normal,0.00000,0.00000,0.00000,
11.35640,1,normal,0.00000,0.00000,0.00000,
11.35820,1,normal,0.00000,0.00000,0.00000,
11.36004,1,normal,0.00000,0.00000,0.00000,
11.36180,1,normal,0.00000,0.00000,0.00000,
11.36349,1,normal,0.00000,0.00000,0.00000,
11.36525,1,normal,0.00000,0.00000,0.00000,
11.36689,1,normal,0.00000,0.00000,0.00000,
11.36861,1,normal,0.00000,0.00000,0.00000,
11.37029,1,normal,0.00000,0.00000,0.00000,
11.37199,1,normal,0.00000,0.00000,0.00000,
11.37409,1,normal,0.00000,0.00000,0.00000,
11.37580,1,normal,0.00000,0.00000,0.00000,
11.37752,1,normal,0.00000,0.00000,0.00000,
11.37920,1,normal,0.00000,0.00000,0.00000,
11.38090,1,normal,0.00000,0.00000,0.00000,
11.38260,1,normal,0.00000,0.00000,0.00000,
11.38440,1,normal,0.00000,0.00000,0.00000,
11.38616,1,normal,0.00000,0.00000,0.00000,
11.38790,1,normal,0.00000,0.00000,0.00000,
11.38961,1,normal,0.00000,0.00000,0.00000,
11.39140,1,normal,0.00000,0.00000,0.00000,
11.39364,1,normal,0.00000,0.00000,0.00000,
11.39530,1,normal,0.00000,0.00000,0.00000,
11.39701,1,normal,0.00000,0.00000,0.00000,
11.39880,1,normal,0.00000,0.00000,0.00000,
11.40049,1,normal,0.00000,0.00000,0.00000,
11.40222,1,normal,0.00000,0.00000,0.00000,
11.40389,1,normal,0.00000,0.00000,0.00000,
11.40559,1,normal,0.00000,0.00000,0.00000,
11.40731,1,normal,0.00000,0.00000,0.00000,
11.41260,1,normal,0.00000,0.00000,0.00000,
11.41470,1,normal,0.00000,0.00000,0.00000,
11.41639,1,normal,0.00000,0.00000,0.00000,
11.41812,1,normal,0.00000,0.00000,0.00000,
11.41989,1,normal,0.00000,0.00000,0.00000,
11.42159,1,normal,0.00000,0.00000,0.00000,
11.42329,1,normal,0.00000,0.00000,0.00000,
11.42499,1,normal,0.00000,0.00000,0.00000,
11.42671,1,normal,0.00000,0.00000,0.00000,
11.42851,1,normal,0.00000,0.00000,0.00000,
11.43019,1,normal,0.00000,0.00000,0.00000,
11.43189,1,normal,0.00000,0.00000,0.00000,
11.43390,1,normal,0.00000,0.00000,0.00000,
11.43559,1,normal,0.00000,0.00000,0.00000,
11.43729,1,normal,0.00000,0.00000,0.00000,
11.43901,1,normal,0.00000,0.00000,0.00000,
11.44069,1,normal,0.00000,0.00000,0.00000,
11.44239,1,normal,0.00000,0.00000,0.00000,
11.44413,1,normal,0.00000,0.00000,0.00000,
11.44579,1,normal,0.00000,0.00000,0.00000,
11.44749,1,normal,0.00000,0.00000,0.00000,
11.44931,1,normal,0.00000,0.00000,0.00000,
11.45099,1,normal,0.00000,0.00000,0.00000,
11.45312,1,normal,0.00000,0.00000,0.00000,
11.45490,1,normal,0.00000,0.00000,0.00000,
11.45659,1,normal,0.00000,0.00000,0.00000,
11.45829,1,normal,0.00000,0.00000,0.00000,
11.46001,1,normal,0.00000,0.00000,0.00000,
11.46179,1,normal,0.00000,0.00000,0.00000,
11.46349,1,normal,0.00000,0.00000,0.00000,
11.46519,1,normal,0.00000,0.00000,0.00000,
11.46689,1,normal,0.00000,0.00000,0.00000,
11.46854,1,normal,0.00000,0.00000,0.00000,
11.47031,1,normal,0.00000,0.00000,0.00000,
11.47210,1,normal,0.00000,0.00000,0.00000,
11.47410,1,normal,0.00000,0.00000,0.00000,
11.47579,1,normal,0.00000,0.00000,0.00000,
11.47748,1,normal,0.00000,0.00000,0.00000,
11.47936,1,normal,0.00000,0.00000,0.00000,
11.48111,1,normal,0.00000,0.00000,0.00000,
11.48290,1,normal,0.00000,0.00000,0.00000,
11.48470,1,normal,0.00000,0.00000,0.00000,
11.48641,1,normal,0.00000,0.00000,0.00000,
11.48823,1,normal,0.00000,0.00000,0.00000,
11.48999,1,normal,0.00000,0.00000,0.00000,
11.49171,1,normal,0.00000,0.00000,0.00000,
11.49399,1,normal,0.00000,0.00000,0.00000,
11.49587,1,normal,0.00000,0.00000,0.00000,
11.49759,1,normal,0.00000,0.00000,0.00000,
11.49929,1,normal,0.00000,0.00000,0.00000,
11.50099,1,normal,0.00000,0.00000,0.00000,
11.50290,1,normal,0.00000,0.00000,0.00000,
11.50467,1,normal,0.00000,0.00000,0.00000,
11.50642,1,normal,0.00000,0.00000,0.00000,
11.50809,1,normal,0.00000,0.00000,0.00000,
11.51010,1,normal,0.00000,0.00000,0.00000,
11.51188,1,normal,0.00000,0.00000,0.00000,
11.51401,1,normal,0.00000,0.00000,0.00000,
11.51582,1,normal,0.00000,0.00000,0.00000,
11.51759,1,normal,0.00000,0.00000,0.00000,
11.51930,1,normal,0.00000,0.00000,0.00000,
11.52105,1,normal,0.00000,0.00000,0.00000,
11.52632,1,normal,0.00000,0.00000,0.00000,
11.52823,1,normal,0.00000,0.00000,0.00000,
11.52999,1,normal,0.00000,0.00000,0.00000,
11.53169,1,normal,0.00000,0.00000,0.00000,
11.53398,1,normal,0.00000,0.00000,0.00000,
11.53569,1,normal,0.00000,0.00000,0.00000,
11.53747,1,normal,0.00000,0.00000,0.00000,
11.53930,1,normal,0.00000,0.00000,0.00000,
11.54099,1,normal,0.00000,0.00000,0.00000,
11.54270,1,normal,0.00000,0.00000,0.00000,
11.54453,1,normal,0.00000,0.00000,0.00000,
11.54660,1,normal,0.00000,0.00000,0.00000,
11.54842,1,normal,0.00000,0.00000,0.00000,
11.55030,1,normal,0.00000,0.00000,0.00000,
11.55215,1,normal,0.00000,0.00000,0.00000,
11.55483,1,normal,0.00000,0.00000,0.00000,
11.55659,1,normal,0.00000,0.00000,0.00000,
11.55839,1,normal,0.00000,0.00000,0.00000,
11.56022,1,normal,0.00000,0.00000,0.00000,
11.56203,1,normal,0.00000,0.00000,0.00000,
11.56379,1,normal,0.00000,0.00000,0.00000,
11.56549,1,normal,0.00000,0.00000,0.00000,
11.56720,1,normal,0.00000,0.00000,0.00000,
11.56906,1,normal,0.00000,0.00000,0.00000,
11.57081,1,normal,0.00000,0.00000,0.00000,
11.57289,1,normal,0.00000,0.00000,0.00000,
11.57460,1,normal,0.00000,0.00000,0.00000,
11.57657,1,normal,0.00000,0.00000,0.00000,
11.57839,1,normal,0.00000,0.00000,0.00000,
11.58020,1,normal,0.00000,0.00000,0.00000,
11.58201,1,normal,0.00000,0.00000,0.00000,
11.58374,1,normal,0.00000,0.00000,0.00000,
11.58554,1,normal,0.00000,0.00000,0.00000,
11.58730,1,normal,0.00000,0.00000,0.00000,
11.58899,1,normal,0.00000,0.00000,0.00000,
11.59069,1,normal,0.00000,0.00000,0.00000,
11.59254,1,normal,0.00000,0.00000,0.00000,
11.59460,1,normal,0.00000,0.00000,0.00000,
11.59628,1,normal,0.00000,0.00000,0.00000,
11.59800,1,normal,0.00000,0.00000,0.00000,
11.59989,1,normal,0.00000,0.00000,0.00000,
11.60159,1,normal,0.00000,0.00000,0.00000,
11.60331,1,normal,0.00000,0.00000,0.00000,
11.60509,1,normal,0.00000,0.00000,0.00000,
11.60679,1,normal,0.00000,0.00000,0.00000,
11.60855,1,normal,0.00000,0.00000,0.00000,
11.61033,1,normal,0.00000,0.00000,0.00000,
11.61199,1,normal,0.00000,0.00000,0.00000,
11.61401,1,normal,0.00000,0.00000,0.00000,
11.61580,1,normal,0.00000,0.00000,0.00000,
11.61755,1,normal,0.00000,0.00000,0.00000,
11.61929,1,normal,0.00000,0.00000,0.00000,
11.62110,1,normal,0.00000,0.00000,0.00000,
11.62279,1,normal,0.00000,0.00000,0.00000,
11.62459,1,normal,0.00000,0.00000,0.00000,
11.62640,1,normal,0.00000,0.00000,0.00000,
11.62812,1,normal,0.00000,0.00000,0.00000,
11.62979,1,normal,0.00000,0.00000,0.00000,
11.63160,1,normal,0.00000,0.00000,0.00000,
11.63367,1,normal,0.00000,0.00000,0.00000,
11.63541,1,normal,0.00000,0.00000,0.00000,
11.63709,1,normal,0.00000,0.00000,0.00000,
11.64236,1,normal,0.00000,0.00000,0.00000,
11.64414,1,normal,0.00000,0.00000,0.00000,
11.64591,1,normal,0.00000,0.00000,0.00000,
11.64759,1,normal,0.00000,0.00000,0.00000,
11.64943,1,normal,0.00000,0.00000,0.00000,
11.65119,1,normal,0.00000,0.00000,0.00000,
11.65323,1,normal,0.00000,0.00000,0.00000,
11.65510,1,normal,0.00000,0.00000,0.00000,
11.65692,1,normal,0.00000,0.00000,0.00000,
11.65869,1,normal,0.00000,0.00000,0.00000,
11.66041,1,normal,0.00000,0.00000,0.00000,
11.66219,1,normal,0.00000,0.00000,0.00000,
11.66389,1,normal,0.00000,0.00000,0.00000,
11.66559,1,normal,0.00000,0.00000,0.00000,
11.66735,1,normal,0.00000,0.00000,0.00000,
11.66902,1,normal,0.00000,0.00000,0.00000,
11.67080,1,normal,0.00000,0.00000,0.00000,
11.67279,1,normal,0.00000,0.00000,0.00000,
11.67449,1,normal,0.00000,0.00000,0.00000,
11.67629,1,normal,0.00000,0.00000,0.00000,
11.67801,1,normal,0.00000,0.00000,0.00000,
11.67969,1,normal,0.00000,0.00000,0.00000,
11.68140,1,normal,0.00000,0.00000,0.00000,
11.68309,1,normal,0.00000,0.00000,0.00000,
11.68487,1,normal,0.00000,0.00000,0.00000,
11.68671,1,normal,0.00000,0.00000,0.00000,
11.68853,1,normal,0.00000,0.00000,0.00000,
11.69030,1,normal,0.00000,0.00000,0.00000,
11.69200,1,normal,0.00000,0.00000,0.00000,
11.70062,1,normal,0.00000,0.00000,0.00000,
11.70250,1,normal,0.00000,0.00000,0.00000,
11.70419,1,normal,0.00000,0.00000,0.00000,
11.70601,1,normal,0.00000,0.00000,0.00000,
11.70790,1,normal,0.00000,0.00000,0.00000,
11.70980,1,normal,0.00000,0.00000,0.00000,
11.71177,1,normal,0.00000,0.00000,0.00000,
11.71474,1,normal,0.00000,0.00000,0.00000,
11.71681,1,normal,0.00000,0.00000,0.00000,
11.71971,3,normal,0.00000,0.00000,0.00000,
11.72233,3,normal,0.00000,0.00000,0.00000,
11.72474,3,normal,0.00000,0.00000,0.00000,
11.72673,3,normal,0.00000,0.00000,0.00000,
11.73069,3,normal,0.00000,0.00000,0.00000,
11.73270,3,normal,0.00000,0.00000,0.00000,
11.73459,3,normal,0.00000,0.00000,0.00000,
11.73649,3,normal,0.00000,0.00000,0.00000,
11.73852,3,normal,0.00000,0.00000,0.00000,
11.74039,3,normal,0.00000,0.00000,0.00000,
