Left,ShoulderPos:(0.01, 0.63, 0.02),Plane:YZ,Radius:0.35
5.41931,3,normal,0.00000,0.00000,0.00000,
5.42135,3,normal,0.00000,0.00000,0.00000,
5.42352,3,normal,0.00000,0.00000,0.00000,
5.42542,3,normal,0.00000,0.00000,0.00000,
5.42760,3,normal,0.00000,0.00000,0.00000,
5.43044,3,normal,0.00000,0.00000,0.00000,
5.43263,3,normal,0.00000,0.00000,0.00000,
5.43503,3,normal,0.00000,0.00000,0.00000,
5.43701,3,normal,0.00000,0.00000,0.00000,
5.43907,3,normal,0.00000,0.00000,0.00000,
5.44113,3,normal,0.00000,0.00000,0.00000,
5.44314,3,normal,0.00000,0.00000,0.00000,
5.44521,3,normal,0.00000,0.00000,0.00000,
5.44717,3,normal,0.00000,0.00000,0.00000,
5.44931,3,normal,0.00000,0.00000,0.00000,
5.45132,3,normal,0.00000,0.00000,0.00000,
5.45323,3,normal,0.00000,0.00000,0.00000,
5.45504,3,normal,0.00000,0.00000,0.00000,
5.45692,3,normal,0.00000,0.00000,0.00000,
5.45881,3,normal,0.00000,0.00000,0.00000,
5.46072,3,normal,0.00000,0.00000,0.00000,
5.46279,3,normal,0.00000,0.00000,0.00000,
5.46473,3,normal,0.00000,0.00000,0.00000,
5.46671,3,normal,0.00000,0.00000,0.00000,
5.46891,3,normal,0.00000,0.00000,0.00000,
5.47091,3,normal,0.00000,0.00000,0.00000,
5.47348,3,normal,0.00000,0.00000,0.00000,
5.47553,3,normal,0.00000,0.00000,0.00000,
5.47741,3,normal,0.00000,0.00000,0.00000,
5.47930,3,normal,0.00000,0.00000,0.00000,
5.48132,3,normal,0.00000,0.00000,0.00000,
5.48321,3,normal,0.00000,0.00000,0.00000,
5.48541,3,normal,0.00000,0.00000,0.00000,
5.48722,3,normal,0.00000,0.00000,0.00000,
5.48955,3,normal,0.00000,0.00000,0.00000,
5.49130,3,normal,0.00000,0.00000,0.00000,
5.49312,3,normal,0.00000,0.00000,0.00000,
5.49502,3,normal,0.00000,0.00000,0.00000,
5.49690,3,normal,0.00000,0.00000,0.00000,
5.49873,3,normal,0.00000,0.00000,0.00000,
5.50393,3,normal,0.00000,0.00000,0.00000,
5.50592,3,normal,0.00000,0.00000,0.00000,
5.50781,3,normal,0.00000,0.00000,0.00000,
5.51002,3,normal,0.00000,0.00000,0.00000,
5.51181,3,normal,0.00000,0.00000,0.00000,
5.51357,3,normal,0.00000,0.00000,0.00000,
5.51521,3,normal,0.00000,0.00000,0.00000,
5.51700,3,normal,0.00000,0.00000,0.00000,
5.51882,3,normal,0.00000,0.00000,0.00000,
5.52083,3,normal,0.00000,0.00000,0.00000,
5.52264,3,normal,0.00000,0.00000,0.00000,
5.52441,3,normal,0.00000,0.00000,0.00000,
5.52621,3,normal,0.00000,0.00000,0.00000,
5.52790,3,normal,0.00000,0.00000,0.00000,
5.53000,3,normal,0.00000,0.00000,0.00000,
5.53182,3,normal,0.00000,0.00000,0.00000,
5.53362,3,normal,0.00000,0.00000,0.00000,
5.53552,3,normal,0.00000,0.00000,0.00000,
5.53730,3,normal,0.00000,0.00000,0.00000,
5.53920,3,normal,0.00000,0.00000,0.00000,
5.54100,3,normal,0.00000,0.00000,0.00000,
5.54283,3,normal,0.00000,0.00000,0.00000,
5.54461,3,normal,0.00000,0.00000,0.00000,
5.54640,3,normal,0.00000,0.00000,0.00000,
5.54821,3,normal,0.00000,0.00000,0.00000,
5.55043,3,normal,0.00000,0.00000,0.00000,
5.55231,3,normal,0.00000,0.00000,0.00000,
5.55412,3,normal,0.00000,0.00000,0.00000,
5.55610,3,normal,0.00000,0.00000,0.00000,
5.55863,3,normal,0.00000,0.00000,0.00000,
5.56083,3,normal,0.00000,0.00000,0.00000,
5.56299,3,normal,0.00000,0.00000,0.00000,
5.56503,3,normal,0.00000,0.00000,0.00000,
5.56680,3,normal,0.00000,0.00000,0.00000,
5.56902,3,normal,0.00000,0.00000,0.00000,
5.57134,3,normal,0.00000,0.00000,0.00000,
5.57341,3,normal,0.00000,0.00000,0.00000,
5.57533,3,normal,0.00000,0.00000,0.00000,
5.57711,3,normal,0.00000,0.00000,0.00000,
5.57902,3,normal,0.00000,0.00000,0.00000,
5.58090,3,normal,0.00000,0.00000,0.00000,
5.58371,3,normal,0.00000,0.00000,0.00000,
5.58552,3,normal,0.00000,0.00000,0.00000,
5.58741,3,normal,0.00000,0.00000,0.00000,
5.58960,3,normal,0.00000,0.00000,0.00000,
5.59152,3,normal,0.00000,0.00000,0.00000,
5.59352,3,normal,0.00000,0.00000,0.00000,
5.59531,3,normal,0.00000,0.00000,0.00000,
5.59716,3,normal,0.00000,0.00000,0.00000,
5.59901,3,normal,0.00000,0.00000,0.00000,
5.60102,3,normal,0.00000,0.00000,0.00000,
5.60280,3,normal,0.00000,0.00000,0.00000,
5.60461,3,normal,0.00000,0.00000,0.00000,
5.60691,3,normal,0.00000,0.00000,0.00000,
5.60913,3,normal,0.00000,0.00000,0.00000,
5.61092,3,normal,0.00000,0.00000,0.00000,
5.61298,3,normal,0.00000,0.00000,0.00000,
5.61490,3,normal,0.00000,0.00000,0.00000,
5.61681,3,normal,0.00000,0.00000,0.00000,
5.61894,3,normal,0.00000,0.00000,0.00000,
5.62485,3,normal,0.00000,0.00000,0.00000,
5.62682,3,normal,0.00000,0.00000,0.00000,
5.62902,3,normal,0.00000,0.00000,0.00000,
5.63092,3,normal,0.00000,0.00000,0.00000,
5.63280,3,normal,0.00000,0.00000,0.00000,
5.63471,3,normal,0.00000,0.00000,0.00000,
5.63652,3,normal,0.00000,0.00000,0.00000,
5.63845,3,normal,0.00000,0.00000,0.00000,
5.64031,3,normal,0.00000,0.00000,0.00000,
5.64222,3,normal,0.00000,0.00000,0.00000,
5.64401,3,normal,0.00000,0.00000,0.00000,
5.64580,3,normal,0.00000,0.00000,0.00000,
5.64764,3,normal,0.00000,0.00000,0.00000,
5.64981,3,normal,0.00000,0.00000,0.00000,
5.65212,3,normal,0.00000,0.00000,0.00000,
5.65380,3,normal,0.00000,0.00000,0.00000,
5.65593,3,normal,0.00000,0.00000,-0.00581,
5.66174,3,normal,0.00000,0.00000,-0.00854,
5.66447,3,normal,0.00000,0.00000,-0.01079,
5.66671,3,normal,0.00000,0.00000,-0.01319,
5.66912,3,normal,0.00000,0.00000,-0.01539,
5.67132,3,normal,0.00000,0.00000,-0.01760,
5.67353,3,normal,0.00000,0.00000,-0.01969,
5.67561,3,normal,0.00000,0.00000,-0.02178,
5.67771,3,normal,0.00000,0.00000,-0.02378,
5.67971,3,normal,0.00000,0.00000,-0.02589,
5.68181,3,normal,0.00000,0.00000,-0.02810,
5.68403,3,normal,0.00000,0.00000,-0.02810,
5.68658,3,normal,0.00000,0.00000,-0.02810,
5.68884,3,normal,0.00000,0.00000,-0.02810,
5.69060,3,normal,0.00000,0.00000,-0.02810,
5.69241,3,normal,0.00000,0.00000,-0.02810,
5.69455,3,normal,0.00000,0.00000,-0.02810,
5.69664,3,normal,0.00000,0.00000,-0.02810,
5.69861,3,normal,0.00000,0.00000,-0.02810,
5.70041,3,normal,0.00000,0.00000,-0.02810,
5.70232,3,normal,0.00000,0.00000,-0.02810,
5.70421,3,normal,0.00000,0.00000,-0.02810,
5.70607,3,normal,0.00000,0.00000,-0.02810,
5.70801,3,normal,0.00000,0.00000,-0.02810,
5.71073,3,normal,0.00000,0.00000,-0.02810,
5.71310,3,normal,0.00000,0.00000,-0.02810,
5.71565,3,normal,0.00000,0.00000,-0.02810,
5.71837,3,normal,0.00000,0.00000,-0.02810,
5.72095,3,normal,0.00000,0.00000,-0.02810,
5.72342,3,normal,0.00000,0.00000,-0.02810,
5.72572,3,normal,0.00000,0.00000,-0.02810,
5.72802,3,normal,0.00000,0.00000,-0.02810,
5.73163,3,normal,0.00000,0.00000,-0.02810,
5.73393,3,normal,0.00000,0.00000,-0.02810,
5.73601,3,normal,0.00000,0.00000,-0.02810,
5.73801,3,normal,0.00000,0.00000,-0.02810,
5.74005,3,normal,0.00000,0.00000,-0.02810,
5.74204,3,normal,0.00000,0.00000,-0.02810,
5.74393,3,normal,0.00000,0.00000,-0.02810,
5.74602,3,normal,0.00000,0.00000,-0.02810,
5.74834,3,normal,0.00000,0.00000,-0.02810,
5.75072,3,normal,0.00000,0.00000,-0.02810,
5.75263,3,normal,0.00000,0.00000,-0.02810,
5.75807,3,normal,0.00000,0.00000,-0.02810,
5.76055,3,normal,0.00000,0.00000,-0.02810,
5.76263,3,normal,0.00000,0.00000,-0.02810,
5.76481,3,normal,0.00000,0.00000,-0.02810,
5.76672,3,normal,0.00000,0.00000,-0.02810,
5.76911,3,normal,0.00000,0.00000,-0.02810,
5.77100,3,normal,0.00000,0.00000,-0.02810,
5.77307,3,normal,0.00000,0.00000,-0.02810,
5.77532,3,normal,0.00000,0.00000,-0.02810,
5.77721,3,normal,0.00000,0.00000,-0.02810,
5.77900,3,normal,0.00000,0.00000,-0.02810,
5.78090,3,normal,0.00000,0.00000,-0.02810,
5.78281,3,normal,0.00000,0.00000,-0.02810,
5.78462,3,normal,0.00000,0.00000,-0.02810,
5.78640,3,normal,0.00000,0.00000,-0.02810,
5.78820,3,normal,0.00000,0.00000,-0.02810,
5.79050,3,normal,0.00000,0.00000,-0.02810,
5.79242,3,normal,0.00000,0.00000,-0.02810,
5.79431,3,normal,0.00000,0.00000,-0.02810,
5.79631,3,normal,0.00000,0.00000,-0.02810,
5.79821,3,normal,0.00000,0.00000,-0.02810,
5.80001,3,normal,0.00000,0.00000,-0.02810,
5.80201,3,normal,0.00000,0.00000,-0.02810,
5.80380,3,normal,0.00000,0.00000,-0.02810,
5.80571,3,normal,0.00000,0.00000,-0.02810,
5.80763,3,normal,0.00000,0.00000,-0.02810,
5.81001,3,normal,0.00000,0.00000,-0.03046,
5.81237,3,normal,0.00000,0.00000,-0.03273,
5.81464,3,normal,0.00000,0.00000,-0.03490,
5.81681,3,normal,0.00000,0.00000,-0.03691,
5.81882,3,normal,0.00000,0.00000,-0.03911,
5.82102,3,normal,0.00000,0.00000,-0.04141,
5.82332,3,normal,0.00000,0.00000,-0.04350,
5.82540,3,normal,0.00000,0.00000,-0.04550,
5.82740,3,normal,0.00000,0.00000,-0.04784,
5.82974,3,normal,0.00000,0.00000,-0.05010,
5.83200,3,normal,0.00000,0.00000,-0.05221,
5.83412,3,normal,0.00000,0.00000,-0.05421,
5.83612,3,normal,0.00000,0.00000,-0.05630,
5.83821,3,normal,0.00000,0.00000,-0.05852,
5.84042,3,normal,0.00000,0.00000,-0.06060,
5.84251,3,normal,0.00000,0.00000,-0.06270,
5.84461,3,normal,0.00000,0.00000,-0.06469,
5.84660,3,normal,0.00000,0.00000,-0.06720,
5.84911,3,normal,0.00000,0.00000,-0.06922,
5.85113,3,normal,0.00000,0.00000,-0.07119,
5.85310,3,normal,0.00000,0.00000,-0.07319,
5.85510,3,normal,0.00000,0.00000,-0.07319,
5.85720,3,normal,0.00000,0.00000,-0.07319,
5.85911,3,normal,0.00000,0.00000,-0.07319,
5.86091,3,normal,0.00000,0.00000,-0.07319,
5.86303,3,normal,0.00000,0.00000,-0.07319,
5.86503,3,normal,0.00000,0.00000,-0.07319,
5.86680,3,normal,0.00000,0.00000,-0.07319,
5.86890,3,normal,0.00000,0.00000,-0.07319,
5.87070,3,normal,0.00000,0.00000,-0.07319,
5.87250,3,normal,0.00000,0.00000,-0.07319,
5.87442,3,normal,0.00000,0.00000,-0.07319,
5.87620,3,normal,0.00000,0.00000,-0.07319,
