Right,ShoulderPos:(-0.01, 0.63, 0.02),Plane:XY,Radius:0.35
2.93698,3,normal,0.00000,0.00000,0.00000,
2.93869,3,normal,0.00000,0.00000,0.00000,
2.94040,3,normal,0.00000,0.00000,0.00000,
2.94568,3,normal,0.00000,0.00000,0.00000,
2.94748,3,normal,0.00000,0.00000,0.00000,
2.94908,3,normal,0.00000,0.00000,0.00000,
2.95090,3,normal,0.00000,0.00000,0.00000,
2.95267,3,normal,0.00000,0.00000,0.00000,
2.95438,3,normal,0.00000,0.00000,0.00000,
2.95597,3,normal,0.00000,0.00000,0.00000,
2.95798,3,normal,0.00000,0.00000,0.00000,
2.95958,3,normal,0.00000,0.00000,0.00000,
2.96134,3,normal,0.00000,0.00000,0.00000,
2.96310,3,normal,0.00000,0.00000,0.00000,
2.96478,3,normal,0.00000,0.00000,0.00000,
2.96649,3,normal,0.00000,0.00000,0.00000,
2.96818,3,normal,0.00000,0.00000,0.00000,
2.96988,3,normal,0.00000,0.00000,0.00000,
2.97161,3,normal,0.00000,0.00000,0.00000,
2.97328,3,normal,0.00000,0.00000,0.00000,
2.97498,3,normal,0.00000,0.00000,0.00000,
2.97658,3,normal,0.00000,0.00000,0.00000,
2.97848,3,normal,0.00000,0.00000,0.00000,
2.98020,3,normal,0.00000,0.00000,0.00000,
2.98191,3,normal,0.00000,0.00000,0.00000,
2.98360,3,normal,0.00000,0.00000,0.00000,
2.98529,3,normal,0.00000,0.00000,0.00000,
2.98698,3,normal,0.00000,0.00000,0.00000,
2.98857,3,normal,0.00000,0.00000,0.00000,
2.99028,3,normal,0.00000,0.00000,0.00000,
2.99200,3,normal,0.00000,0.00000,0.00000,
2.99357,3,normal,0.00000,0.00000,0.00000,
2.99530,3,normal,0.00000,0.00000,0.00000,
2.99739,3,normal,0.00000,0.00000,0.00000,
2.99907,3,normal,0.00000,0.00000,0.00000,
3.00067,3,normal,0.00000,0.00000,0.00000,
3.00240,3,normal,0.00000,0.00000,0.00000,
3.00408,3,normal,0.00000,0.00000,0.00000,
3.00579,3,normal,0.00000,0.00000,0.00000,
3.00748,3,normal,0.00000,0.00000,0.00000,
3.00919,3,normal,0.00000,0.00000,0.00000,
3.01107,3,normal,0.00000,0.00000,0.00000,
3.01280,3,normal,0.00000,0.00000,0.00000,
3.01449,3,normal,0.00000,0.00000,0.00000,
3.01619,3,normal,0.00000,0.00000,0.00000,
3.01830,3,normal,0.00000,0.00000,0.00000,
3.02008,3,normal,0.00000,0.00000,0.00000,
3.02178,3,normal,0.00000,0.00000,0.00000,
3.02350,3,normal,0.00000,0.00000,0.00000,
3.02522,3,normal,0.00000,0.00000,0.00000,
3.02688,3,normal,0.00000,0.00000,0.00000,
3.02851,3,normal,0.00000,0.00000,0.00000,
3.03018,3,normal,0.00000,0.00000,0.00000,
3.03190,3,normal,0.00000,0.00000,0.00000,
3.03370,3,normal,0.00000,0.00000,0.00000,
3.03538,3,normal,0.00000,0.00000,0.00000,
3.03742,3,normal,0.00000,0.00000,0.00000,
3.03919,3,normal,0.00000,0.00000,0.00000,
3.04078,3,normal,0.00000,0.00000,0.00000,
3.04249,3,normal,0.00000,0.00000,0.00000,
3.04774,3,normal,0.00000,0.00000,0.00000,
3.04949,3,normal,0.00000,0.00000,0.00000,
3.05129,3,normal,0.00000,0.00000,0.00000,
3.05298,3,normal,0.00000,0.00000,0.00000,
3.05468,3,normal,0.00000,0.00000,0.00000,
3.05640,3,normal,0.00000,0.00000,0.00000,
3.05850,3,normal,0.00000,0.00000,0.00000,
3.06019,3,normal,0.00000,0.00000,0.00000,
3.06188,3,normal,0.00000,0.00000,0.00000,
3.06359,3,normal,0.00000,0.00000,0.00000,
3.06529,3,normal,0.00000,0.00000,0.00000,
3.06699,3,normal,0.00000,0.00000,0.00000,
3.06871,3,normal,0.00000,0.00000,0.00000,
3.07038,3,normal,0.00000,0.00000,0.00000,
3.07197,3,normal,0.00000,0.00000,0.00000,
3.07358,3,normal,0.00000,0.00000,0.00000,
3.07529,3,normal,0.00000,0.00000,0.00000,
3.07739,3,normal,0.00000,0.00000,0.00000,
3.07913,3,normal,0.00000,0.00000,0.00000,
3.08078,3,normal,0.00000,0.00000,0.00000,
3.08249,3,normal,0.00000,0.00000,0.00000,
3.08418,3,normal,0.00000,0.00000,0.00000,
3.08584,3,normal,0.00000,0.00000,0.00000,
3.08747,3,normal,0.00000,0.00000,0.00000,
3.08921,3,normal,0.00000,0.00000,0.00000,
3.09089,3,normal,0.00000,0.00000,0.00000,
3.09248,3,normal,0.00000,0.00000,0.00000,
3.09420,3,normal,0.00000,0.00000,0.00000,
3.09599,3,normal,0.00000,0.00000,0.00000,
3.09839,3,normal,0.00000,0.00000,0.00000,
3.09999,3,normal,0.00000,0.00000,0.00000,
3.10168,3,normal,0.00000,0.00000,0.00000,
3.10337,3,normal,0.00000,0.00000,0.00000,
3.10497,3,normal,0.00000,0.00000,0.00000,
3.10658,3,normal,0.00000,0.00000,0.00000,
3.10828,3,normal,0.00000,0.00000,0.00000,
3.10987,3,normal,0.00000,0.00000,0.00000,
3.11154,3,normal,0.00000,0.00000,0.00000,
3.11329,3,normal,0.00000,0.00000,0.00000,
3.11498,3,normal,0.00000,0.00000,0.00000,
3.11658,3,normal,0.00000,0.00000,0.00000,
3.11839,3,normal,0.00000,0.00000,0.00000,
3.12002,3,normal,0.00000,0.00000,0.00000,
3.12170,3,normal,0.00000,0.00000,0.00000,
3.12340,3,normal,0.00000,0.00000,0.00000,
3.12509,3,normal,0.00000,0.00000,0.00000,
3.12678,3,normal,0.00000,0.00000,0.00000,
3.12848,3,normal,0.00000,0.00000,0.00000,
3.13008,3,normal,0.00000,0.00000,0.00000,
3.13181,3,normal,0.00000,0.00000,0.00000,
3.13349,3,normal,0.00000,0.00000,0.00000,
3.13509,3,normal,0.00000,0.00000,0.00000,
3.13708,3,normal,0.00000,0.00000,0.00000,
3.13878,3,normal,0.00000,0.00000,0.00000,
3.14049,3,normal,0.00000,0.00000,0.00000,
3.14219,3,normal,0.00000,0.00000,0.00000,
3.14389,3,normal,0.00000,0.00000,0.00000,
3.14920,3,normal,0.00000,0.00000,0.00000,
3.15099,3,normal,0.00000,0.00000,0.00000,
3.15268,3,normal,0.00000,0.00000,0.00000,
3.15429,3,normal,0.00000,0.00000,0.00000,
3.15598,3,normal,0.00000,0.00000,0.00000,
3.15789,3,normal,0.00000,0.00000,0.00000,
3.15959,3,normal,0.00000,0.00000,0.00000,
3.16128,3,normal,0.00000,0.00000,0.00000,
3.16301,3,normal,0.00000,0.00000,0.00000,
3.16469,3,normal,0.00000,0.00000,0.00000,
3.16639,3,normal,0.00000,0.00000,0.00000,
3.16809,3,normal,0.00000,0.00000,0.00000,
3.16972,3,normal,0.00000,0.00000,0.00000,
3.17138,3,normal,0.00000,0.00000,0.00000,
3.17297,3,normal,0.00000,0.00000,0.00000,
3.17471,3,normal,0.00000,0.00000,0.00000,
3.17642,3,normal,0.00000,0.00000,0.00000,
3.17827,3,normal,0.00000,0.00000,0.00000,
3.17987,3,normal,0.00000,0.00000,0.00000,
3.18149,3,normal,0.00000,0.00000,0.00000,
3.18329,3,normal,0.00000,0.00000,0.00000,
3.18501,3,normal,0.00000,0.00000,0.00000,
3.18663,3,normal,0.00000,0.00000,0.00000,
3.18829,3,normal,0.00000,0.00000,0.00000,
3.18999,3,normal,0.00000,0.00000,0.00000,
