Left,ShoulderPos:(-0.02, 0.14, -0.44),Plane:XZ,Radius:0.25
3.69479,1,fast,-0.03780,-0.03361,-0.16357,
3.70238,1,fast,-0.03780,-0.03361,-0.16357,
3.70976,1,fast,-0.03492,-0.03517,-0.16408,
3.71680,1,fast,-0.03486,-0.03523,-0.16411,
3.72478,1,fast,-0.03486,-0.03523,-0.16411,
3.73273,1,fast,-0.03263,-0.03608,-0.16440,
3.74046,1,fast,-0.03258,-0.03611,-0.16441,
3.74895,1,fast,-0.03226,-0.03736,-0.16470,
3.75609,1,fast,-0.03223,-0.03741,-0.16473,
3.76393,1,fast,-0.03223,-0.03741,-0.16473,
3.77135,1,fast,-0.03058,-0.03878,-0.16519,
3.77910,1,fast,-0.03057,-0.03881,-0.16521,
3.78641,1,fast,-0.03047,-0.03970,-0.16556,
3.79341,1,fast,-0.03047,-0.03971,-0.16559,
3.80066,1,fast,-0.03047,-0.03971,-0.16560,
3.80838,1,fast,-0.02992,-0.04087,-0.16615,
3.81557,1,fast,-0.02991,-0.04087,-0.16620,
3.82259,1,fast,-0.02991,-0.04086,-0.16620,
3.82988,1,fast,-0.02736,-0.04192,-0.16698,
3.83730,1,fast,-0.02726,-0.04191,-0.16704,
3.84471,1,fast,-0.02726,-0.04190,-0.16704,
3.85231,1,fast,-0.02416,-0.04510,-0.16822,
3.85947,1,fast,-0.02394,-0.04522,-0.16832,
3.86673,1,fast,-0.02261,-0.04638,-0.16877,
3.87369,1,fast,-0.02250,-0.04643,-0.16880,
3.88608,1,fast,-0.01969,-0.04891,-0.16933,
3.89426,1,fast,-0.01955,-0.04903,-0.16936,
3.90295,1,fast,-0.01955,-0.04903,-0.16936,
3.91065,1,fast,-0.01753,-0.05211,-0.16997,
3.91797,1,fast,-0.01738,-0.05225,-0.17001,
3.92642,1,fast,-0.01642,-0.05448,-0.17045,
3.93366,1,fast,-0.01637,-0.05456,-0.17048,
3.94092,1,fast,-0.01636,-0.05456,-0.17048,
3.94865,1,fast,-0.01603,-0.05779,-0.17091,
3.95627,1,fast,-0.01600,-0.05797,-0.17094,
3.96391,1,fast,-0.01600,-0.05798,-0.17095,
